"period_year","section_bs","account","total_amount"
2037,"Owners Equity","Owners Equity","1623021.04"
2037,"Owners Equity","Retained Earnings","1623021.04"
2038,"Owners Equity","Retained Earnings","1623021.04"
2038,"Owners Equity","Owners Equity","1623021.04"
2039,"Owners Equity","Owners Equity","1623021.04"
2039,"Owners Equity","Retained Earnings","1623021.04"
2040,"Owners Equity","Retained Earnings","1623021.04"
2040,"Owners Equity","Owners Equity","1623021.04"
2041,"Owners Equity","Owners Equity","1623021.04"
2041,"Owners Equity","Retained Earnings","1623021.04"
2042,"Owners Equity","Owners Equity","1623021.04"
2042,"Owners Equity","Retained Earnings","1623021.04"
2043,"Owners Equity","Retained Earnings","1623021.04"
2043,"Owners Equity","Owners Equity","1623021.04"
2044,"Owners Equity","Owners Equity","1623021.04"
2044,"Owners Equity","Retained Earnings","1623021.04"
2045,"Owners Equity","Owners Equity","1623021.04"
2045,"Owners Equity","Retained Earnings","1623021.04"
2046,"Owners Equity","Owners Equity","1623021.04"
2046,"Owners Equity","Retained Earnings","1623021.04"
2047,"Owners Equity","Owners Equity","1623021.04"
2047,"Owners Equity","Retained Earnings","1623021.04"
2048,"Owners Equity","Retained Earnings","1623021.04"
2048,"Owners Equity","Owners Equity","1623021.04"
2049,"Owners Equity","Owners Equity","1623021.04"
2049,"Owners Equity","Retained Earnings","1623021.04"
2050,"Owners Equity","Owners Equity","1623021.04"
2050,"Owners Equity","Retained Earnings","1623021.04"
